"","congress_number","n"
"1",1,94
"2",2,64
"3",3,94
"4",4,72
"5",5,135
"6",6,94
"7",7,78
"8",8,90
"9",9,88
"10",10,87
"11",11,89
"12",12,162
"13",13,167
"14",14,163
"15",15,139
"16",16,109
"17",17,130
"18",18,137
"19",19,147
"20",20,126
"21",21,143
"22",22,175
"23",23,121
"24",24,130
"25",25,138
"26",26,50
"27",27,178
"28",28,115
"29",29,117
"30",30,142
"31",31,88
"32",32,113
"33",33,161
"34",34,128
"35",35,100
"36",36,131
"37",37,335
"38",38,318
"39",39,306
"40",40,226
"41",41,313
"42",42,514
"43",43,389
"44",44,251
"45",45,255
"46",46,288
"47",47,330
"48",48,219
"49",49,367
"50",50,508
"51",51,531
"52",52,347
"53",53,374
"54",54,356
"55",55,449
"56",56,383
"57",57,423
"58",58,502
"59",59,692
"60",60,350
"61",61,526
"62",62,457
"63",63,342
"64",64,400
"65",65,349
"66",66,401
"67",67,549
"68",68,632
"69",69,808
"70",70,1037
"71",71,869
"72",72,442
"73",73,486
"74",74,851
"75",75,788
"76",76,894
"77",77,768
"78",78,501
"79",79,659
"80",80,803
"81",81,826
"82",82,530
"83",83,709
"84",84,946
"85",85,864
